city,tvil_hotel_id,name,address,url,rooms_number
Иркутск,1435824,"Гостиница ""Ангара""","Иркутск, улица Сухэ-Батора, 7",https://tvil.ru/city/irkutsk/hotels/1435824/,300
Утулик,1434513,"Парк отель ""Байкал""","Утулик, Территория туристической базы ""Байкал""",https://tvil.ru/city/utulik/hotels/1434513/,9
Иркутск,1328740,"Гостиница ""На Звездинской""","Иркутск, Звездинская улица, 5",https://tvil.ru/city/irkutsk/hotels/1328740/,30
Иркутск,1889753,"Мини-отель ""Проспект""","Иркутск, проспект Маршала Жукова, 5/4",https://tvil.ru/city/irkutsk/hotels/1889753/,4
Иркутск,1009170,"Апарт-отель ""Sokolov Hotel""","Иркутск, Байкальская улица, 129",https://tvil.ru/city/irkutsk/hotels/1009170/,30
Иркутск,787596,"Гостиница ""Ochagof""","Иркутск, Дальневосточная улица, 21",https://tvil.ru/city/irkutsk/hotels/787596/,23
Листвянка,1000539,"Отель ""Маяк""","Листвянка, улица Горького, 85А",https://tvil.ru/city/listvyanka/hotels/1000539/,75
Хужир,1372499,"Отель ""Байкал Хан Ольхон""","Хужир, улица Ворошилова, 18",https://tvil.ru/city/huzhir/hotels/1372499/,37
Иркутск,904225,"Отель ""Михаил Строгов""","Иркутск, Депутатская улица, 36",https://tvil.ru/city/irkutsk/hotels/904225/,21
Братск,1265779,"Отель ""Клубный Квартал""","Братск, бульвар Победы, 30",https://tvil.ru/city/bratsk/hotels/1265779/,48
Иркутск,1276636,"Парк-отель ""Бурдугуз""","Иркутск, Большереченское муниципальное образование, посёлок Бурдугуз, Лесная улица, 1",https://tvil.ru/city/irkutsk/hotels/1276636/,69
Иркутск,1382100,"Гостиница ""У Истока""","Иркутск, улица Ржанова, 43",https://tvil.ru/city/irkutsk/hotels/1382100/,24
Ангарск,1314294,"Гостиница ""Ангара-Приоритет""","Ангарск, квартал Б, 13",https://tvil.ru/city/angarsk/hotels/1314294/,31
Нижнеудинск,1467982,Гостиница,"Нижнеудинск, Октябрьская улица, 1-Б",https://tvil.ru/city/nizhneudinsk/hotels/1467982/,5
Иркутск,1462849,"Гостиница ""7 дорог""","Иркутск, улица Ядринцева, 88",https://tvil.ru/city/irkutsk/hotels/1462849/,19
Иркутск,1490199,Отель «Альпари»,"Иркутск, микрорайон Приморский, 24-А",https://tvil.ru/city/irkutsk/hotels/1490199/,10
Иркутск,1390225,"Гостиница ""Добрый Кот""","Иркутск, улица Румянцева, 22",https://tvil.ru/city/irkutsk/hotels/1390225/,10
Иркутск,1508283,"Гостиница"" Аврора""","Иркутск, улица Карла Либкнехта, 7Б",https://tvil.ru/city/irkutsk/hotels/1508283/,7
Иркутск,1609403,"Отель ""Иркут""","Иркутск, Пролетарская улица, 7",https://tvil.ru/city/irkutsk/hotels/1609403/,30
Иркутск,1655828,"Апарт-отель ""Светлый""","Иркутск, Первая, 2а/2",https://tvil.ru/city/irkutsk/hotels/1655828/,6
Иркутск,946962,"Отель ""Лотос""","Иркутск, Байкальская улица, 14Б",https://tvil.ru/city/irkutsk/hotels/946962/,21
Братск,1265779,"Отель ""Клубный Квартал""","Братск, бульвар Победы, 30",https://tvil.ru/city/bratsk/hotels/1265779/,48
Иркутск,1276636,"Парк-отель ""Бурдугуз""","Иркутск, Большереченское муниципальное образование, посёлок Бурдугуз, Лесная улица, 1",https://tvil.ru/city/irkutsk/hotels/1276636/,69
Байкальск,1287498,"Парк-отель ""Соболинка""","Байкальск, Россия, Иркутская область, Слюдянский район, Байкальск, квартал Красный Ключ, 90",https://tvil.ru/city/baikalsk/hotels/1287498/,33
Иркутск,1367731,"Отель ""Яковлевъ""","Иркутск, улица Тимирязева, 9",https://tvil.ru/city/irkutsk/hotels/1367731/,25
Иркутск,1382100,"Гостиница ""У Истока""","Иркутск, улица Ржанова, 43",https://tvil.ru/city/irkutsk/hotels/1382100/,24
Ангарск,1314294,"Гостиница ""Ангара-Приоритет""","Ангарск, квартал Б, 13",https://tvil.ru/city/angarsk/hotels/1314294/,31
Иркутск,1441288,Отель Армат 4*,"Иркутск, улица Ширямова, 33",https://tvil.ru/city/irkutsk/hotels/1441288/,40
Нижнеудинск,1467982,Гостиница,"Нижнеудинск, Октябрьская улица, 1-Б",https://tvil.ru/city/nizhneudinsk/hotels/1467982/,5
Иркутск,1462849,"Гостиница ""7 дорог""","Иркутск, улица Ядринцева, 88",https://tvil.ru/city/irkutsk/hotels/1462849/,19
Иркутск,1490199,Отель «Альпари»,"Иркутск, микрорайон Приморский, 24-А",https://tvil.ru/city/irkutsk/hotels/1490199/,10
Иркутск,1390225,"Гостиница ""Добрый Кот""","Иркутск, улица Румянцева, 22",https://tvil.ru/city/irkutsk/hotels/1390225/,10
Иркутск,1491765,"Гостиница ""130Hotel""","Иркутск, улица Лапина, 43А",https://tvil.ru/city/irkutsk/hotels/1491765/,12
Иркутск,1508283,"Гостиница"" Аврора""","Иркутск, улица Карла Либкнехта, 7Б",https://tvil.ru/city/irkutsk/hotels/1508283/,7
Иркутск,1609403,"Отель ""Иркут""","Иркутск, Пролетарская улица, 7",https://tvil.ru/city/irkutsk/hotels/1609403/,30
Иркутск,1655828,"Апарт-отель ""Светлый""","Иркутск, Первая, 2а/2",https://tvil.ru/city/irkutsk/hotels/1655828/,6
Ангарск,1690094,Гостиница Олимпиада,"Ангарск, улица Чайковского, 48",https://tvil.ru/city/angarsk/hotels/1690094/,25
Иркутск,1775519,"Гостиница ""Nord Star Hotel""","Иркутск, улица Седова, 4",https://tvil.ru/city/irkutsk/hotels/1775519/,12
Черемхово,1851647,"Парк-Отель ""Шелест""","Черемхово, улица Марата, 109",https://tvil.ru/city/cheremhovo/hotels/1851647/,8
Хужир,1913029,"Отель ""Точка Байкала""","Хужир, Байкальская улица, 64",https://tvil.ru/city/huzhir/hotels/1913029/,38
Листвянка,1892012,"Отель ""Подлеморье""","Листвянка, улица Горького, 31",https://tvil.ru/city/listvyanka/hotels/1892012/,14
Деревня Курма,1487384,"Парк отель ""Уюга""","Деревня Курма, Парк отель ""Уюга""   , б.н",https://tvil.ru/city/derevnya-kurma/hotels/1487384/,58
Иркутск,424345,"Гостиничный комплекс ""Лазурный берег""","Иркутск, Байкальская улица, 252Б",https://tvil.ru/city/irkutsk/hotels/424345/,66
Иркутск,1367592,"Отель ""Атлас""","Иркутск, проезд Атласова, 9",https://tvil.ru/city/irkutsk/hotels/1367592/,28
Хужир,1450305,Дача БайкалЭко,"Хужир, Лесная улица, 32",https://tvil.ru/city/huzhir/hotels/1450305/,10
Иркутск,1472664,"Гостиница ""Байкал Форест""","Иркутск, Советская улица, 58/1",https://tvil.ru/city/irkutsk/hotels/1472664/,76
Иркутск,2063101,"Гостиница ""Азия-Европа""","Иркутск, улица Ядринцева, 1/7",https://tvil.ru/city/irkutsk/hotels/2063101/,19
Иркутск,1296594,"Отель ""Тайга""","Иркутск, улица Сурикова, 4В",https://tvil.ru/city/irkutsk/hotels/1296594/,44
Иркутск,1390108,"Гостиница  ""Воробьевы горы""","Иркутск, Ольхонский район, местность Тутай, 1, 1",https://tvil.ru/city/irkutsk/hotels/1390108/,11
Байкальск,895518,"Гостиница ""Космос""","Байкальск, микрорайон Гагарина, 2-А",https://tvil.ru/city/baikalsk/hotels/895518/,16
Иркутск,425543,"Отель ""Звезда""","Иркутск, улица Ядринцева, 1-Ж",https://tvil.ru/city/irkutsk/hotels/425543/,64
Ангарск,1632075,"Отель"" Арбат""","Ангарск, 192 квартал, 7",https://tvil.ru/city/angarsk/hotels/1632075/,11
Хужир,1097942,Hotel Olhon 2*,"Хужир, Байкальская улица, 64/1",https://tvil.ru/city/huzhir/hotels/1097942/,28
Братск,1785783,"Отель ""Белый Берег""","Братск, улица Курчатова, 65",https://tvil.ru/city/bratsk/hotels/1785783/,5
Иркутск,1343236,"Бутик-отель ""Аристократ""","Иркутск, улица Ленина, 9",https://tvil.ru/city/irkutsk/hotels/1343236/,12
Иркутск,767249,"Отель ""Купеческий Дворъ""","Иркутск, улица Седова, 10",https://tvil.ru/city/irkutsk/hotels/767249/,14
Иркутск,898794,"Бутик-отель ""Marussia""","Иркутск, улица Седова, 12",https://tvil.ru/city/irkutsk/hotels/898794/,14
Иркутск,1129766,"Доходный дом ""М.А. Листратовой""","Иркутск, Подгорная улица, 16",https://tvil.ru/city/irkutsk/hotels/1129766/,15
Иркутск,1335449,Отель Амурский,"Иркутск, улица Ленина, 34",https://tvil.ru/city/irkutsk/hotels/1335449/,17
Хужир,1345611,Гостиница,"Хужир, Светлая улица, 5",https://tvil.ru/city/huzhir/hotels/1345611/,29
Иркутск,1378154,"Гостиница ""Байкал - Северное море""","Иркутск, Дальневосточная, 156",https://tvil.ru/city/irkutsk/hotels/1378154/,120
Хужир,1802586,"Гостиница ""BAIKAL VIEW""","Хужир, Российская, 17",https://tvil.ru/city/huzhir/hotels/1802586/,99
Иркутск,1899852,Отель «Байкал-Аляска»,"Иркутск, Старо-Кузьмихинская улица, 37/3",https://tvil.ru/city/irkutsk/hotels/1899852/,24
Иркутск,1979910,"Отель""NUUR HOTEL""","Иркутск, улица Карла Либкнехта, 85",https://tvil.ru/city/irkutsk/hotels/1979910/,28
деревня Сарма,1993192,"Парк-отель ""Алтан""","деревня Сарма, территория база отдыха «Алтан», б/н",https://tvil.ru/city/derevnya-sarma/hotels/1993192/,21
Братск,1367536,"Отель ""Санаторий Солнечный""","Братск, улица Северный Артек, 10",https://tvil.ru/city/bratsk/hotels/1367536/,125
Иркутск,2032078,Гостиница «Усадьба Егорова»,"Иркутск, улица Грязнова, 2",https://tvil.ru/city/irkutsk/hotels/2032078/,10
Нижнеудинск,2036706,"Отель ""Магистраль""","Нижнеудинск, Красноармейская улица, 43, 43",https://tvil.ru/city/nizhneudinsk/hotels/2036706/,21
